Full Name,UT NetID,What class will you be in this coming year?,Gender,Major,GPA (out of 4.0),Interests,1,2,3,4,5,6,7,8,9,10,"Anything else? We think we did a pretty good job asking you questions, but if there's something you want us to know, here's your chance to tell us!",
Dylan Rainwater,drainwater,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
Lydia San George,lsangeorge,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
Gucci Fam,gfam,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
Renee Descartes,rdescartes,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee0,mentee0,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee1,mentee1,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee2,mentee2,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee3,mentee3,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee4,mentee4,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee5,mentee5,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee6,mentee6,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee7,mentee7,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee8,mentee8,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee9,mentee9,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee10,mentee10,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee11,mentee11,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee12,mentee12,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee13,mentee13,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee14,mentee14,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee15,mentee15,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee16,mentee16,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee17,mentee17,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee18,mentee18,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee19,mentee19,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee20,mentee20,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee21,mentee21,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee22,mentee22,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee23,mentee23,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee24,mentee24,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee25,mentee25,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee26,mentee26,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee27,mentee27,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee28,mentee28,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee29,mentee29,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee30,mentee30,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee31,mentee31,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee32,mentee32,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee33,mentee33,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee34,mentee34,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee35,mentee35,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee36,mentee36,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee37,mentee37,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee38,mentee38,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee39,mentee39,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee40,mentee40,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee41,mentee41,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee42,mentee42,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee43,mentee43,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee44,mentee44,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee45,mentee45,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee46,mentee46,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee47,mentee47,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee48,mentee48,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee49,mentee49,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee50,mentee50,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee51,mentee51,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee52,mentee52,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee53,mentee53,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee54,mentee54,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee55,mentee55,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee56,mentee56,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee57,mentee57,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee58,mentee58,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee59,mentee59,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee60,mentee60,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee61,mentee61,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee62,mentee62,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee63,mentee63,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee64,mentee64,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee65,mentee65,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee66,mentee66,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee67,mentee67,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee68,mentee68,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee69,mentee69,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee70,mentee70,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee71,mentee71,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee72,mentee72,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee73,mentee73,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee74,mentee74,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee75,mentee75,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee76,mentee76,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee77,mentee77,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee78,mentee78,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee79,mentee79,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee80,mentee80,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee81,mentee81,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee82,mentee82,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee83,mentee83,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee84,mentee84,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee85,mentee85,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee86,mentee86,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee87,mentee87,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee88,mentee88,Sophomore,Male,Computer Science,3.8,"Internships/Co-ops, Entrepreneurship, Music, Video Games",2,3,2,4,2,3,2,4,4,5,,I agree
mentee89,mentee89,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee90,mentee90,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee91,mentee91,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
mentee92,mentee92,Sophomore,Female,Computer Science,3.6,"Research, Cooking/Baking, Visual Arts, Music, Hiking/Backpacking",1,4,3,5,5,3,5,4,5,5,,I agree
mentee93,mentee93,Freshman,Prefer not to say,Computer Science,2.6,"Music, Sports, Video Games",5,1,1,3,3,5,2,1,3,2,,I agree
mentee94,mentee94,Sophomore,Male,Computer Science,4,Music,3,5,3,5,5,2,2,1,3,2,,I agree
