Full Name,UT NetID,What class will you be in this coming year?,Gender,Major,GPA (out of 4.0),Interests,1,2,3,4,5,6,7,8,9,10,"Anything else? We think we did a pretty good job asking you questions, but if there's something you want us to know, here's your chance to tell us!",
William Lifferth,wileliff,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
John Doe,jdoe,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
Hillary Clinton,hclinton,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other1,other1,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other2,other2,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other3,other3,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other4,other4,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other5,other5,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other6,other6,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other7,other7,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other8,other8,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other9,other9,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other10,other10,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other11,other11,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other12,other12,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other13,other13,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other14,other14,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other15,other15,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other16,other16,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other17,other17,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other18,other18,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other19,other19,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other20,other20,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other21,other21,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other22,other22,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other23,other23,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other24,other24,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other25,other25,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other26,other26,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other27,other27,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other28,other28,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other29,other29,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other30,other30,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other31,other31,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other32,other32,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other33,other33,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other34,other34,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other35,other35,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other36,other36,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other37,other37,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other38,other38,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other39,other39,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other40,other40,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other41,other41,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other42,other42,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other43,other43,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
other44,other44,Junior,Male,Computer Science,3.7,"Research, Internships/Co-ops, Music",5,1,3,5,2,4,1,3,1,5,,I agree
other45,other45,Senior,Female,Computer Science,3.5,"Internships/Co-ops, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",3,4,3,5,5,3,5,5,3,5,,I agree
other46,other46,Junior,Male,Computer Science,3.9,"Research, Entrepreneurship, Cooking/Baking, Hiking/Backpacking",2,4,2,4,4,3,3,,4,2,,I agree
